pattern_number,hole_number,hole_id,actual_x,actual_y,actual_toe_rl,actual_collar_rl
GB-120-001,1095,PRD1095,357056.746,6593069.787,120.078,130
GB-120-001,1096,PRD1096,357061.942,6593072.909,119.207,130
GB-120-001,1097,PRD1097,357067.138,6593075.863,118.9,130
GB-120-001,1098,PRD1098,357072.335,6593078.713,117.185,130
GB-120-001,1099,PRD1099,357077.531,6593081.836,118.025,130
GB-120-001,1100,PRD1100,357082.727,6593084.713,120.463,130
GB-120-001,1101,PRD1101,357081.325,6593093.229,117.913,130
GB-120-001,1102,PRD1102,357076.129,6593090.184,120.999,130
GB-120-001,1103,PRD1103,357070.933,6593087.402,121.331,130
GB-120-001,1104,PRD1104,357065.737,6593084.274,116.751,130
GB-120-001,1105,PRD1105,357061.137,6593082.244,117.532,130
GB-120-001,1106,PRD1106,357055.344,6593078.552,116.563,130
GB-120-001,1107,PRD1107,357050.148,6593075.542,118.008,130
GB-120-001,1108,PRD1108,357044.952,6593072.172,118.291,130
GB-120-001,1109,PRD1109,357039.756,6593069.311,118.9,130
GB-120-001,1110,PRD1110,357034.56,6593066.177,118.9,130
GB-120-001,1111,PRD1111,357029.363,6593063.438,121.191,130
GB-120-001,1112,PRD1112,357024.167,6593060.141,116.612,130
GB-120-001,1113,PRD1113,357018.971,6593057.141,118.9,130
GB-120-001,1114,PRD1114,357013.775,6593054.439,119.856,130
GB-120-001,1115,PRD1115,357008.579,6593051.477,119.374,130
GB-120-001,1116,PRD1116,357003.453,6593049.356,121.103,130
GB-120-001,1117,PRD1117,356998.147,6593046.445,117.953,130
GB-120-001,1118,PRD1118,356992.826,6593043.247,116.834,130
GB-120-001,1119,PRD1119,356987.794,6593039.151,118.9,130
GB-120-001,1120,PRD1120,356982.598,6593036.467,118.9,130
