pattern_number,hole_number,hole_id,actual_x,actual_y,actual_toe_rl,actual_collar_rl,actual_hole_length,dropped,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,design_equivalent_explosive_kg_actual_hole,actual_stemming_m,actual_explosive_column_m,actual_explosive_kg,actual_explosive_delta_kg,explosive_load_changed
GB-120-001,1033,PRD1033,357034.971,6593029.734,117.439,130,12.561,False,ANFO,0.8,165.0,4.0,146.444,4.672,7.889,134.942,-11.502,True
GB-120-001,1034,PRD1034,357029.775,6593026.875,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.358,6.742,115.337,-6.116,True
GB-120-001,1035,PRD1035,357024.579,6593023.58,121.318,130,8.682,False,ANFO,0.8,165.0,4.0,80.09,4.0,4.682,80.09,0.0,False
GB-120-001,1036,PRD1036,357019.383,6593020.719,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.345,6.755,115.549,-5.903,True
GB-120-001,1037,PRD1037,357014.187,6593017.724,117.901,130,12.099,False,ANFO,0.8,165.0,4.0,138.541,3.634,8.465,144.794,6.253,True
GB-120-001,1038,PRD1038,357008.99,6593014.428,117.727,130,12.273,False,ANFO,0.8,165.0,4.0,141.518,4.229,8.044,137.594,-3.924,True
GB-120-001,1039,PRD1039,357003.794,6593011.755,121.171,130,8.829,False,ANFO,0.8,165.0,4.0,82.605,3.73,5.099,87.223,4.619,True
GB-120-001,1040,PRD1040,356998.598,6593008.782,117.291,130,12.709,False,ANFO,0.8,165.0,4.0,148.976,4.65,8.059,137.849,-11.127,True
GB-120-001,1041,PRD1041,356992.0,6593013.856,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,3.774,7.326,125.314,3.862,True
GB-120-001,1042,PRD1042,356997.196,6593016.994,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.796,6.304,107.84,-13.613,True
GB-120-001,1043,PRD1043,357002.392,6593020.14,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.713,6.387,109.253,-12.199,True
GB-120-001,1044,PRD1044,357007.588,6593022.856,117.125,130,12.875,False,ANFO,0.8,165.0,4.0,151.816,4.002,8.873,151.776,-0.039,True
GB-120-001,1045,PRD1045,357012.785,6593026.042,118.462,130,11.538,False,ANFO,0.8,165.0,4.0,128.945,3.504,8.034,137.435,8.49,True
GB-120-001,1046,PRD1046,357017.981,6593029.096,119.975,130,10.025,False,ANFO,0.8,165.0,4.0,103.063,3.859,6.166,105.476,2.413,True
GB-120-001,1047,PRD1047,357023.177,6593031.943,119.637,130,10.363,False,ANFO,0.8,165.0,4.0,108.845,3.861,6.502,111.229,2.384,True
GB-120-001,1048,PRD1048,357028.373,6593035.195,120.344,130,9.656,False,ANFO,0.8,165.0,4.0,96.751,3.725,5.931,101.455,4.704,True
GB-120-001,1049,PRD1049,357033.569,6593037.971,120.965,130,9.035,False,ANFO,0.8,165.0,4.0,86.129,3.636,5.399,92.35,6.221,True
GB-120-001,1050,PRD1050,357039.451,6593041.833,117.343,130,12.657,False,ANFO,0.8,165.0,4.0,148.086,4.097,8.56,146.435,-1.652,True
GB-120-001,1051,PRD1051,357043.962,6593044.104,117.645,130,12.355,False,ANFO,0.8,165.0,4.0,142.92,4.369,7.986,136.604,-6.316,True
GB-120-001,1052,PRD1052,357049.158,6593046.88,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.305,6.795,116.24,-5.212,True
GB-120-001,1053,PRD1053,357054.354,6593049.929,117.051,130,12.949,False,ANFO,0.8,165.0,4.0,153.081,5.044,7.905,135.229,-17.852,True
GB-120-001,1054,PRD1054,357059.55,6593053.219,116.918,130,13.082,False,ANFO,0.8,165.0,4.0,155.356,4.87,8.212,140.47,-14.887,True
GB-120-001,1055,PRD1055,357064.746,6593055.856,119.629,130,10.371,False,ANFO,0.8,165.0,4.0,108.982,3.647,6.724,115.023,6.041,True
GB-120-001,1056,PRD1056,357069.942,6593059.065,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,3.652,7.448,127.403,5.95,True
GB-120-001,1057,PRD1057,357075.138,6593061.9,119.485,130,10.515,False,ANFO,0.8,165.0,4.0,111.445,3.281,7.234,123.75,12.305,True
GB-120-001,1058,PRD1058,357080.335,6593065.11,118.517,130,11.483,False,ANFO,0.8,165.0,4.0,128.004,4.434,7.049,120.573,-7.431,True
GB-120-001,1059,PRD1059,357085.531,6593067.994,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.676,6.424,109.884,-11.568,True
GB-120-001,1060,PRD1060,357090.727,6593070.856,118.181,130,11.819,False,ANFO,0.8,165.0,4.0,133.752,4.0,7.819,133.752,0.0,False
GB-120-001,1061,PRD1061,357089.325,6593079.29,116.749,130,13.251,False,ANFO,0.8,165.0,4.0,158.247,4.548,8.703,148.873,-9.374,True
GB-120-001,1062,PRD1062,357084.129,6593076.619,116.983,130,13.017,False,ANFO,0.8,165.0,4.0,154.245,3.555,9.462,161.857,7.613,True
GB-120-001,1063,PRD1063,357078.933,6593073.487,119.176,130,10.824,False,ANFO,0.8,165.0,4.0,116.731,4.435,6.389,109.296,-7.435,True
GB-120-001,1064,PRD1064,357073.737,6593070.335,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.548,6.552,112.081,-9.371,True
GB-120-001,1065,PRD1065,357068.54,6593067.719,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,3.954,7.146,122.241,0.788,True
GB-120-001,1066,PRD1066,357063.344,6593064.681,116.259,130,13.741,False,ANFO,0.8,165.0,4.0,166.629,4.0,9.741,166.629,0.0,False
GB-120-001,1067,PRD1067,357058.148,6593061.738,116.645,130,13.355,False,ANFO,0.8,165.0,4.0,160.026,3.101,10.254,175.399,15.373,True
GB-120-001,1068,PRD1068,357052.952,6593058.744,116.951,130,13.049,False,ANFO,0.8,165.0,4.0,154.792,3.059,9.99,170.887,16.096,True
GB-120-001,1069,PRD1069,357047.756,6593055.304,119.592,130,10.408,False,ANFO,0.8,165.0,4.0,109.615,3.598,6.81,116.489,6.874,True
GB-120-001,1070,PRD1070,357042.56,6593052.758,121.044,130,8.956,False,ANFO,0.8,165.0,4.0,84.777,4.046,4.91,83.986,-0.791,True
GB-120-001,1071,PRD1071,357037.363,6593049.502,119.732,130,10.268,False,ANFO,0.8,165.0,4.0,107.22,3.77,6.498,111.154,3.933,True
GB-120-001,1072,PRD1072,357032.167,6593046.285,118.829,130,11.171,False,ANFO,0.8,165.0,4.0,122.667,3.291,7.88,134.787,12.12,True
GB-120-001,1073,PRD1073,357026.971,6593043.285,119.232,130,10.768,False,ANFO,0.8,165.0,4.0,115.773,4.57,6.198,106.019,-9.755,True
GB-120-001,1074,PRD1074,357021.775,6593040.402,120.244,130,9.756,False,ANFO,0.8,165.0,4.0,98.462,4.0,5.756,98.462,0.0,False
GB-120-001,1075,PRD1075,357016.579,6593037.285,119.118,130,10.882,False,ANFO,0.8,165.0,4.0,117.723,3.968,6.914,118.266,0.543,True
GB-120-001,1076,PRD1076,357011.383,6593034.285,120.706,130,9.294,False,ANFO,0.8,165.0,4.0,90.559,3.882,5.412,92.584,2.025,True
GB-120-001,1077,PRD1077,357006.187,6593031.593,121.038,130,8.962,False,ANFO,0.8,165.0,4.0,84.88,4.0,4.962,84.88,0.0,False
GB-120-001,1078,PRD1078,357000.99,6593028.392,120.351,130,9.649,False,ANFO,0.8,165.0,4.0,96.632,4.0,5.649,96.632,0.0,False
GB-120-001,1079,PRD1079,356995.794,6593025.751,119.149,130,10.851,False,ANFO,0.8,165.0,4.0,117.193,4.538,6.313,107.995,-9.198,True
GB-120-001,1080,PRD1080,356990.598,6593022.403,118.116,130,11.884,False,ANFO,0.8,165.0,4.0,134.863,4.0,7.884,134.863,0.0,False
GB-120-001,1081,PRD1081,356984.0,6593028.177,120.393,130,9.607,False,ANFO,0.8,165.0,4.0,95.913,4.291,5.316,90.936,-4.977,True
GB-120-001,1082,PRD1082,356989.196,6593030.713,118.903,130,11.097,False,ANFO,0.8,165.0,4.0,121.401,3.789,7.308,125.004,3.603,True
GB-120-001,1083,PRD1083,356994.228,6593034.766,120.923,130,9.077,False,ANFO,0.8,165.0,4.0,86.847,4.0,5.077,86.847,0.0,False
GB-120-001,1084,PRD1084,356999.588,6593037.148,116.383,130,13.617,False,ANFO,0.8,165.0,4.0,164.508,4.986,8.631,147.635,-16.873,True
GB-120-001,1085,PRD1085,357004.785,6593040.139,120.513,130,9.487,False,ANFO,0.8,165.0,4.0,93.86,4.526,4.961,84.857,-9.003,True
GB-120-001,1086,PRD1086,357009.981,6593043.128,119.074,130,10.926,False,ANFO,0.8,165.0,4.0,118.476,4.605,6.321,108.135,-10.341,True
GB-120-001,1087,PRD1087,357015.177,6593045.87,118.789,130,11.211,False,ANFO,0.8,165.0,4.0,123.351,4.073,7.138,122.11,-1.241,True
GB-120-001,1088,PRD1088,357020.373,6593048.713,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.0,7.1,121.452,0.0,False
GB-120-001,1089,PRD1089,357025.569,6593051.801,121.106,130,8.894,False,ANFO,0.8,165.0,4.0,83.717,4.0,4.894,83.717,0.0,False
GB-120-001,1090,PRD1090,357030.765,6593054.741,117.71,130,12.29,False,ANFO,0.8,165.0,4.0,141.809,3.243,9.047,154.76,12.951,True
GB-120-001,1091,PRD1091,357035.962,6593057.747,120.462,130,9.538,False,ANFO,0.8,165.0,4.0,94.733,3.747,5.791,99.058,4.325,True
GB-120-001,1092,PRD1092,357041.158,6593061.025,120.473,130,9.527,False,ANFO,0.8,165.0,4.0,94.545,3.593,5.934,101.509,6.964,True
GB-120-001,1093,PRD1093,357046.354,6593063.99,118.107,130,11.893,False,ANFO,0.8,165.0,4.0,135.017,4.0,7.893,135.017,0.0,False
GB-120-001,1094,PRD1094,357052.161,6593067.553,116.523,130,13.477,False,ANFO,0.8,165.0,4.0,162.113,4.188,9.289,158.899,-3.215,True
GB-120-001,1095,PRD1095,357056.746,6593069.787,120.078,130,9.922,False,ANFO,0.8,165.0,4.0,101.302,3.948,5.974,102.196,0.894,True
GB-120-001,1096,PRD1096,357061.942,6593072.909,119.207,130,10.793,False,ANFO,0.8,165.0,4.0,116.201,4.193,6.6,112.891,-3.31,True
GB-120-001,1097,PRD1097,357067.138,6593075.863,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,3.17,7.93,135.646,14.194,True
GB-120-001,1098,PRD1098,357072.335,6593078.713,117.185,130,12.815,False,ANFO,0.8,165.0,4.0,150.789,3.186,9.629,164.709,13.92,True
GB-120-001,1099,PRD1099,357077.531,6593081.836,118.025,130,11.975,False,ANFO,0.8,165.0,4.0,136.42,4.442,7.533,128.865,-7.555,True
GB-120-001,1100,PRD1100,357082.727,6593084.713,120.463,130,9.537,False,ANFO,0.8,165.0,4.0,94.716,3.474,6.063,103.72,9.004,True
GB-120-001,1101,PRD1101,357081.325,6593093.229,117.913,130,12.087,False,ANFO,0.8,165.0,4.0,138.336,4.0,8.087,138.336,0.0,False
GB-120-001,1102,PRD1102,357076.129,6593090.184,120.999,130,9.001,False,ANFO,0.8,165.0,4.0,85.547,3.907,5.094,87.141,1.594,True
GB-120-001,1103,PRD1103,357070.933,6593087.402,121.331,130,8.669,False,ANFO,0.8,165.0,4.0,79.868,4.147,4.522,77.357,-2.511,True
GB-120-001,1104,PRD1104,357065.737,6593084.274,116.751,130,13.249,False,ANFO,0.8,165.0,4.0,158.213,4.0,9.249,158.213,0.0,False
GB-120-001,1105,PRD1105,357061.137,6593082.244,117.532,130,12.468,False,ANFO,0.8,165.0,4.0,144.853,4.954,7.514,128.541,-16.312,True
GB-120-001,1106,PRD1106,357055.344,6593078.552,116.563,130,13.437,False,ANFO,0.8,165.0,4.0,161.429,4.0,9.437,161.429,0.0,False
GB-120-001,1107,PRD1107,357050.148,6593075.542,118.008,130,11.992,False,ANFO,0.8,165.0,4.0,136.711,3.22,8.772,150.059,13.348,True
GB-120-001,1108,PRD1108,357044.952,6593072.172,118.291,130,11.709,False,ANFO,0.8,165.0,4.0,131.87,3.201,8.508,145.544,13.674,True
GB-120-001,1109,PRD1109,357039.756,6593069.311,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.816,6.284,107.498,-13.955,True
GB-120-001,1110,PRD1110,357034.56,6593066.177,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,3.738,7.362,125.941,4.489,True
GB-120-001,1111,PRD1111,357029.363,6593063.438,121.191,130,8.809,False,ANFO,0.8,165.0,4.0,82.263,4.103,4.706,80.506,-1.757,True
GB-120-001,1112,PRD1112,357024.167,6593060.141,116.612,130,13.388,False,ANFO,0.8,165.0,4.0,160.591,3.817,9.571,163.727,3.136,True
GB-120-001,1113,PRD1113,357018.971,6593057.141,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.0,7.1,121.452,0.0,False
GB-120-001,1114,PRD1114,357013.775,6593054.439,119.856,130,10.144,False,ANFO,0.8,165.0,4.0,105.099,3.962,6.182,105.746,0.647,True
GB-120-001,1115,PRD1115,357008.579,6593051.477,119.374,130,10.626,False,ANFO,0.8,165.0,4.0,113.344,4.695,5.931,101.45,-11.894,True
GB-120-001,1116,PRD1116,357003.453,6593049.356,121.103,130,8.897,False,ANFO,0.8,165.0,4.0,83.768,3.549,5.348,91.474,7.707,True
GB-120-001,1117,PRD1117,356998.147,6593046.445,117.953,130,12.047,False,ANFO,0.8,165.0,4.0,137.652,4.0,8.047,137.652,0.0,False
GB-120-001,1118,PRD1118,356992.826,6593043.247,116.834,130,13.166,False,ANFO,0.8,165.0,4.0,156.793,4.651,8.515,145.655,-11.138,True
GB-120-001,1119,PRD1119,356987.794,6593039.151,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.0,7.1,121.452,0.0,False
GB-120-001,1120,PRD1120,356982.598,6593036.467,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.0,7.1,121.452,0.0,False
