pattern_number,hole_number,hole_id,x,y,collar_rl,design_toe_rl,design_bench_height,design_hole_length,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,design_explosive_column_m,design_explosive_kg
GB-120-001,1029,PRD1029,357055.756,6593041.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1030,PRD1030,357050.56,6593038.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1031,PRD1031,357045.363,6593035.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1032,PRD1032,357040.167,6593032.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1033,PRD1033,357034.971,6593029.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1034,PRD1034,357029.775,6593026.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1035,PRD1035,357024.579,6593023.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1036,PRD1036,357019.383,6593020.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1037,PRD1037,357014.187,6593017.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1038,PRD1038,357008.99,6593014.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1039,PRD1039,357003.794,6593011.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1040,PRD1040,356998.598,6593008.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1041,PRD1041,356992.0,6593013.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1042,PRD1042,356997.196,6593016.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1043,PRD1043,357002.392,6593019.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1044,PRD1044,357007.588,6593022.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1045,PRD1045,357012.785,6593025.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1046,PRD1046,357017.981,6593028.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1047,PRD1047,357023.177,6593031.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1048,PRD1048,357028.373,6593034.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1049,PRD1049,357033.569,6593037.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1050,PRD1050,357038.765,6593040.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1051,PRD1051,357043.962,6593043.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1052,PRD1052,357049.158,6593046.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1053,PRD1053,357054.354,6593049.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1054,PRD1054,357059.55,6593052.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1055,PRD1055,357064.746,6593055.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1056,PRD1056,357069.942,6593058.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1057,PRD1057,357075.138,6593061.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1058,PRD1058,357080.335,6593064.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1059,PRD1059,357085.531,6593067.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1060,PRD1060,357090.727,6593070.856,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1061,PRD1061,357089.325,6593079.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1062,PRD1062,357084.129,6593076.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1063,PRD1063,357078.933,6593073.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1064,PRD1064,357073.737,6593070.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1065,PRD1065,357068.54,6593067.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1066,PRD1066,357063.344,6593064.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1067,PRD1067,357058.148,6593061.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1068,PRD1068,357052.952,6593058.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1069,PRD1069,357047.756,6593055.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1070,PRD1070,357042.56,6593052.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1071,PRD1071,357037.363,6593049.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1072,PRD1072,357032.167,6593046.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1073,PRD1073,357026.971,6593043.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1074,PRD1074,357021.775,6593040.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1075,PRD1075,357016.579,6593037.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1076,PRD1076,357011.383,6593034.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1077,PRD1077,357006.187,6593031.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1078,PRD1078,357000.99,6593028.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1079,PRD1079,356995.794,6593025.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1080,PRD1080,356990.598,6593022.285,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1081,PRD1081,356984.0,6593027.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1082,PRD1082,356989.196,6593030.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1083,PRD1083,356994.392,6593033.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1084,PRD1084,356999.588,6593036.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1085,PRD1085,357004.785,6593039.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1086,PRD1086,357009.981,6593042.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1087,PRD1087,357015.177,6593045.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1088,PRD1088,357020.373,6593048.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1089,PRD1089,357025.569,6593051.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1090,PRD1090,357030.765,6593054.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1091,PRD1091,357035.962,6593057.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1092,PRD1092,357041.158,6593060.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1093,PRD1093,357046.354,6593063.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1094,PRD1094,357051.55,6593066.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1095,PRD1095,357056.746,6593069.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1096,PRD1096,357061.942,6593072.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1097,PRD1097,357067.138,6593075.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1098,PRD1098,357072.335,6593078.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1099,PRD1099,357077.531,6593081.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1100,PRD1100,357082.727,6593084.713,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1101,PRD1101,357081.325,6593093.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1102,PRD1102,357076.129,6593090.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1103,PRD1103,357070.933,6593087.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1104,PRD1104,357065.737,6593084.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1105,PRD1105,357060.54,6593081.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1106,PRD1106,357055.344,6593078.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1107,PRD1107,357050.148,6593075.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1108,PRD1108,357044.952,6593072.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1109,PRD1109,357039.756,6593069.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1110,PRD1110,357034.56,6593066.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1111,PRD1111,357029.363,6593063.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1112,PRD1112,357024.167,6593060.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1113,PRD1113,357018.971,6593057.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1114,PRD1114,357013.775,6593054.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1115,PRD1115,357008.579,6593051.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1116,PRD1116,357003.383,6593048.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1117,PRD1117,356998.187,6593045.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1118,PRD1118,356992.99,6593042.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1119,PRD1119,356987.794,6593039.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1120,PRD1120,356982.598,6593036.141,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
