x,y,block_id,x_m,y_m,z_top_m,z_bottom_m,bench_name,location,oxidation,density_tpm3,au_gpt,cu_pct,ag_gpt,Axb,BWi_kWht,DWi_kWhm3,UCS_MPa,RMR,digability,sulfides_pct,carbonate_pct,clays_pct,fault_dist_m,cn_demand_kgt,rec_au,rec_cu,rec_ag,pf_target_kgpm3,target_p80_mm,wet,latitude,longitude,lithology,alteration_domain,mineral_domain,structure_domain
363554.918068,6591681.589991,B_041_036,410.0,-90.0,200.0,185.0,RL185-200,ore,transition,2.82,0.52,1.053,10.62,46.7,20.26,7.44,128.2,54.3,hard,5.79,1.66,1.72,46.2,0.0,0.7,0.76,0.61,1.1,140,True,-30.800103655384,121.5737848579,mineralised_porphyry,potassic_core,high_grade_core,background
363564.918068,6591681.589991,B_042_036,420.0,-90.0,200.0,185.0,RL185-200,ore,transition,2.83,0.53,1.1196,10.91,46.1,20.0,6.29,131.9,58.3,hard,6.16,1.67,1.72,49.2,0.0,0.69,0.77,0.61,1.07,130,True,-30.80010480535,121.573889357254,mineralised_porphyry,potassic_core,high_grade_core,background
363574.918068,6591681.589991,B_043_036,430.0,-90.0,200.0,185.0,RL185-200,ore,transition,2.84,0.554,1.1747,11.76,48.1,20.24,7.26,132.2,59.8,hard,6.46,1.74,1.5,52.2,0.0,0.69,0.77,0.62,1.1,130,True,-30.800105955232,121.573993856615,mineralised_porphyry,potassic_core,high_grade_core,background
363584.918068,6591681.589991,B_044_036,440.0,-90.0,200.0,185.0,RL185-200,ore,transition,2.87,0.594,1.195,11.98,47.3,18.62,7.66,142.9,55.9,hard,6.57,1.73,1.43,55.1,0.0,0.69,0.78,0.6,1.17,125,True,-30.80010710503,121.574098355981,mineralised_porphyry,potassic_core,high_grade_core,background
363594.918068,6591681.589991,B_045_036,450.0,-90.0,200.0,185.0,RL185-200,ore,fresh,2.95,0.567,1.3681,12.82,39.9,21.77,8.02,178.5,56.6,hard,7.52,1.75,0.29,57.9,0.0,0.68,0.92,0.59,1.18,120,False,-30.800108254743,121.574202855353,mineralised_porphyry,potassic_core,high_grade_core,background
363604.918068,6591681.589991,B_046_036,460.0,-90.0,200.0,185.0,RL185-200,ore,fresh,2.97,0.587,1.3872,13.24,43.2,22.21,8.4,185.5,58.8,hard,7.63,1.95,0.29,60.7,0.0,0.68,0.91,0.57,1.18,115,False,-30.800109404372,121.574307354732,mineralised_porphyry,potassic_core,high_grade_core,background
363614.918068,6591681.589991,B_047_036,470.0,-90.0,200.0,185.0,RL185-200,ore,fresh,2.87,0.586,1.3612,13.09,41.1,21.12,7.51,184.5,58.3,hard,7.49,1.93,0.39,63.4,0.0,0.69,0.91,0.59,1.18,115,False,-30.800110553917,121.574411854116,mineralised_porphyry,potassic_core,high_grade_core,background
363624.918068,6591681.589991,B_048_036,480.0,-90.0,200.0,185.0,RL185-200,ore,fresh,2.92,0.573,1.4195,13.67,42.2,20.89,8.7,177.4,69.1,hard,7.81,1.96,0.08,66.1,0.0,0.68,0.9,0.59,1.18,115,False,-30.800111703378,121.574516353507,mineralised_porphyry,potassic_core,high_grade_core,background
363634.918068,6591681.589991,B_049_036,490.0,-90.0,200.0,185.0,RL185-200,ore,fresh,2.98,0.582,1.3965,13.59,41.8,22.46,8.07,188.0,60.7,hard,7.68,2.12,0.34,68.8,0.0,0.66,0.91,0.58,1.18,120,False,-30.800112852755,121.574620852903,mineralised_porphyry,potassic_core,high_grade_core,background
363644.918068,6591681.589991,B_050_036,500.0,-90.0,200.0,185.0,RL185-200,ore,fresh,2.92,0.567,1.3676,12.91,41.7,21.27,8.84,173.4,68.8,hard,7.52,2.13,0.08,71.4,0.0,0.68,0.9,0.59,1.18,120,False,-30.800114002047,121.574725352305,mineralised_porphyry,potassic_core,high_grade_core,background
363554.918068,6591691.589991,B_041_037,410.0,-80.0,200.0,185.0,RL185-200,ore,transition,2.79,0.497,1.0452,10.26,49.4,19.11,6.62,122.7,50.3,medium,5.75,1.66,2.14,36.8,0.0,0.69,0.78,0.62,1.06,135,True,-30.800013448396,121.573786190112,mineralised_porphyry,potassic_core,high_grade_core,main_fault
363564.918068,6591691.589991,B_042_037,420.0,-80.0,200.0,185.0,RL185-200,ore,transition,2.8,0.498,1.0702,10.49,48.6,19.79,6.16,120.9,58.0,hard,5.89,1.72,1.77,39.8,0.0,0.68,0.74,0.61,1.03,140,True,-30.800014598358,121.573890689369,mineralised_porphyry,potassic_core,high_grade_core,main_fault
363574.918068,6591691.589991,B_043_037,430.0,-80.0,200.0,185.0,RL185-200,ore,transition,2.85,0.573,1.1372,11.52,47.1,20.21,6.51,147.7,60.7,hard,6.25,1.54,1.52,42.7,0.0,0.69,0.78,0.61,1.16,130,True,-30.800015748235,121.573995188632,mineralised_porphyry,potassic_core,high_grade_core,main_fault
363584.918068,6591691.589991,B_044_037,440.0,-80.0,200.0,185.0,RL185-200,ore,transition,2.81,0.562,1.1986,12.04,49.1,19.71,6.97,139.5,54.3,hard,6.59,1.56,1.59,45.6,0.0,0.68,0.77,0.61,1.12,135,True,-30.800016898029,121.574099687901,mineralised_porphyry,potassic_core,high_grade_core,background
363614.918068,6591691.589991,B_047_037,470.0,-80.0,200.0,185.0,RL185-200,ore,fresh,2.96,0.599,1.4582,13.86,41.7,21.79,8.16,183.2,61.7,hard,8.02,1.63,0.08,54.0,0.0,0.68,0.91,0.58,1.18,125,False,-30.800020346905,121.574413185743,mineralised_porphyry,potassic_core,high_grade_core,background
363624.918068,6591691.589991,B_048_037,480.0,-80.0,200.0,185.0,RL185-200,ore,fresh,2.97,0.614,1.4181,13.6,39.4,22.32,8.35,181.9,58.1,hard,7.8,1.87,0.08,56.7,0.0,0.67,0.89,0.57,1.18,120,False,-30.800021496361,121.574517685036,mineralised_porphyry,potassic_core,high_grade_core,background
363634.918068,6591691.589991,B_049_037,490.0,-80.0,200.0,185.0,RL185-200,ore,fresh,2.96,0.595,1.4372,13.44,41.9,21.66,8.84,185.3,61.0,hard,7.9,1.7,0.08,59.3,0.0,0.68,0.92,0.57,1.18,115,False,-30.800022645734,121.574622184335,mineralised_porphyry,potassic_core,high_grade_core,background
363644.918068,6591691.589991,B_050_037,500.0,-80.0,200.0,185.0,RL185-200,ore,fresh,2.96,0.594,1.4029,13.47,39.8,20.15,8.09,180.3,60.2,hard,7.72,2.01,0.08,61.9,0.0,0.68,0.9,0.58,1.18,115,False,-30.800023795022,121.57472668364,mineralised_porphyry,potassic_core,high_grade_core,background
