x,y,block_id,x_m,y_m,z_top_m,z_bottom_m,bench_name,location,oxidation,density_tpm3,au_gpt,cu_pct,ag_gpt,Axb,BWi_kWht,DWi_kWhm3,UCS_MPa,RMR,digability,sulfides_pct,carbonate_pct,clays_pct,fault_dist_m,cn_demand_kgt,rec_au,rec_cu,rec_ag,pf_target_kgpm3,target_p80_mm,wet,latitude,longitude,lithology,alteration_domain,mineral_domain,structure_domain,pattern_id
363254.918068,6591401.589991,B_011_008,110.0,-370.0,200.0,185.0,RL185-200,waste,fresh,2.69,0.003,0.0184,0.41,45.4,19.26,6.78,116.9,53.5,medium,0.56,0.5,1.54,78.7,0.0,0.75,0.86,0.76,1.03,135,False,-30.802594908941,121.570612493756,propylitic_volcanics,propylitic_halo,waste,background,
363264.918068,6591401.589991,B_012_008,120.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.6,0.003,0.0171,0.4,54.2,19.18,6.01,81.4,47.6,medium,0.5,0.62,2.59,68.8,0.0,0.74,0.72,0.74,0.83,150,True,-30.802596061548,121.570716995661,propylitic_volcanics,propylitic_halo,waste,background,
363274.918068,6591401.589991,B_013_008,130.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.63,0.004,0.0183,0.42,52.3,17.66,5.78,91.5,47.3,medium,0.45,0.44,2.8,58.9,0.0,0.73,0.74,0.76,0.88,155,True,-30.802597214071,121.570821497572,propylitic_volcanics,propylitic_halo,waste,background,
363284.918068,6591401.589991,B_014_008,140.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.6,0.004,0.0204,0.46,52.3,18.35,6.09,86.5,49.3,medium,0.29,0.41,2.55,49.0,0.0,0.75,0.74,0.76,0.86,150,True,-30.80259836651,121.570925999489,propylitic_volcanics,propylitic_halo,waste,background,
363294.918068,6591401.589991,B_015_008,150.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.61,0.005,0.0212,0.48,53.0,18.06,6.07,87.5,47.1,medium,0.19,0.59,2.71,39.1,0.0,0.75,0.74,0.74,0.92,155,True,-30.802599518865,121.571030501412,propylitic_volcanics,propylitic_halo,waste,background,
363304.918068,6591401.589991,B_016_008,160.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.61,0.005,0.0237,0.49,52.2,18.64,5.87,93.1,50.1,medium,0.85,0.54,3.01,29.1,0.0,0.74,0.71,0.72,0.89,145,True,-30.802600671135,121.571135003341,propylitic_volcanics,propylitic_halo,waste,cross_fault,
363314.918068,6591401.589991,B_017_008,170.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.61,0.005,0.0241,0.51,51.6,18.45,5.36,85.3,50.7,medium,0.65,0.5,3.59,19.2,0.0,0.72,0.73,0.7,0.87,155,True,-30.802601823321,121.571239505276,propylitic_volcanics,propylitic_halo,waste,cross_fault,
363324.918068,6591401.589991,B_018_008,180.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.52,0.005,0.0233,0.47,57.1,16.79,5.61,73.8,30.1,soft,0.72,0.56,4.33,9.3,0.0,0.71,0.7,0.69,0.72,165,True,-30.802602975423,121.571344007217,propylitic_volcanics,propylitic_halo,waste,cross_fault,
363334.918068,6591401.589991,B_019_008,190.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.58,0.005,0.0241,0.46,58.6,16.0,4.7,49.2,21.5,soft,0.73,0.63,4.78,0.6,0.0,0.67,0.71,0.67,0.7,175,True,-30.802604127441,121.571448509164,propylitic_volcanics,propylitic_halo,waste,cross_fault,
363344.918068,6591401.589991,B_020_008,200.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.56,0.005,0.0235,0.47,55.0,17.56,4.98,59.3,30.8,soft,0.18,0.56,4.3,10.5,0.0,0.7,0.7,0.71,0.71,170,True,-30.802605279374,121.571553011118,propylitic_volcanics,propylitic_halo,waste,cross_fault,
363354.918068,6591401.589991,B_021_008,210.0,-370.0,200.0,185.0,RL185-200,waste,fresh,2.7,0.005,0.0269,0.52,48.4,18.27,6.41,102.2,55.7,hard,1.1,0.73,2.23,20.4,0.0,0.73,0.86,0.72,0.93,150,False,-30.802606431223,121.571657513077,propylitic_volcanics,propylitic_halo,waste,cross_fault,
363364.918068,6591401.589991,B_022_008,220.0,-370.0,200.0,185.0,RL185-200,waste,fresh,2.67,0.005,0.0274,0.54,46.6,18.93,6.79,101.7,59.6,medium,0.33,0.5,1.97,30.4,0.0,0.73,0.88,0.76,0.96,145,False,-30.802607582988,121.571762015042,propylitic_volcanics,propylitic_halo,waste,cross_fault,
363374.918068,6591401.589991,B_023_008,230.0,-370.0,200.0,185.0,RL185-200,waste,fresh,2.68,0.005,0.0263,0.52,47.1,18.76,6.23,120.9,57.9,hard,0.78,0.63,1.9,40.3,0.0,0.74,0.87,0.75,1.05,140,False,-30.802608734669,121.571866517013,propylitic_volcanics,propylitic_halo,waste,background,
363384.918068,6591401.589991,B_024_008,240.0,-370.0,200.0,185.0,RL185-200,waste,fresh,2.67,0.005,0.0231,0.48,48.0,19.11,7.25,120.3,58.6,hard,0.78,0.4,1.59,50.2,0.0,0.75,0.86,0.77,1.0,130,False,-30.802609886266,121.57197101899,propylitic_volcanics,propylitic_halo,waste,background,
363394.918068,6591401.589991,B_025_008,250.0,-370.0,200.0,185.0,RL185-200,waste,fresh,2.67,0.004,0.0221,0.47,47.7,19.68,7.02,113.1,60.0,hard,0.49,0.39,1.79,60.1,0.0,0.75,0.86,0.74,1.02,145,False,-30.802611037778,121.572075520974,propylitic_volcanics,propylitic_halo,waste,background,
363854.918068,6591401.589991,B_071_008,710.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.61,0.005,0.0158,0.35,50.9,18.82,6.81,92.1,57.8,medium,0.82,0.68,1.69,376.6,0.0,0.73,0.73,0.74,0.9,150,True,-30.802663916312,121.576882618697,propylitic_volcanics,propylitic_halo,waste,background,
363864.918068,6591401.589991,B_072_008,720.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.6,0.005,0.0152,0.34,50.6,18.45,6.67,97.5,49.3,medium,0.51,0.61,1.84,372.2,0.0,0.75,0.73,0.76,0.97,150,True,-30.802665063867,121.576987120962,propylitic_volcanics,propylitic_halo,waste,background,
363874.918068,6591401.589991,B_073_008,730.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.61,0.004,0.0154,0.34,53.7,17.91,5.98,95.4,53.5,medium,0.18,0.58,2.01,367.8,0.0,0.75,0.75,0.77,0.96,145,True,-30.802666211337,121.577091623234,propylitic_volcanics,propylitic_halo,waste,background,
363884.918068,6591401.589991,B_074_008,740.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.59,0.004,0.0152,0.32,52.4,17.55,6.38,85.6,57.3,medium,0.32,0.35,2.02,363.2,0.0,0.75,0.75,0.76,0.92,150,True,-30.802667358722,121.577196125511,propylitic_volcanics,propylitic_halo,waste,background,
363894.918068,6591401.589991,B_075_008,750.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.59,0.004,0.0144,0.33,52.3,19.53,6.42,92.3,47.7,medium,0.36,0.4,2.11,358.6,0.0,0.74,0.73,0.77,0.94,150,True,-30.802668506024,121.577300627794,propylitic_volcanics,propylitic_halo,waste,background,
363904.918068,6591401.589991,B_076_008,760.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.6,0.004,0.0146,0.32,52.5,17.29,5.88,97.5,52.0,medium,0.57,0.45,1.83,353.9,0.0,0.75,0.75,0.76,0.92,150,True,-30.802669653242,121.577405130084,propylitic_volcanics,propylitic_halo,waste,background,
363914.918068,6591401.589991,B_077_008,770.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.58,0.004,0.0135,0.31,53.1,17.91,5.93,95.0,55.6,medium,0.18,0.55,1.95,349.0,0.0,0.75,0.74,0.77,0.94,145,True,-30.802670800375,121.577509632379,propylitic_volcanics,propylitic_halo,waste,background,
363924.918068,6591401.589991,B_078_008,780.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.62,0.004,0.0137,0.29,52.0,18.26,6.11,98.4,57.2,medium,0.66,0.28,1.85,344.1,0.0,0.75,0.74,0.76,0.91,140,True,-30.802671947424,121.577614134681,propylitic_volcanics,propylitic_halo,waste,background,
363934.918068,6591401.589991,B_079_008,790.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.6,0.004,0.0141,0.29,51.9,17.77,6.53,99.7,54.2,medium,0.39,0.32,1.87,339.1,0.0,0.75,0.75,0.75,0.95,145,True,-30.802673094389,121.577718636988,propylitic_volcanics,propylitic_halo,waste,background,
363944.918068,6591401.589991,B_080_008,800.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.57,0.004,0.0148,0.31,51.8,18.61,5.98,91.9,49.2,medium,0.27,0.29,1.87,333.9,0.0,0.75,0.74,0.77,0.92,150,True,-30.802674241269,121.577823139301,propylitic_volcanics,propylitic_halo,waste,background,
363954.918068,6591401.589991,B_081_008,810.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.55,0.004,0.0137,0.28,53.2,18.57,5.99,106.0,52.9,medium,0.6,0.41,2.16,328.7,0.0,0.75,0.74,0.74,0.95,135,True,-30.802675388066,121.577927641621,propylitic_volcanics,propylitic_halo,waste,background,
363964.918068,6591401.589991,B_082_008,820.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.64,0.003,0.0129,0.26,51.7,18.93,5.58,98.4,52.3,medium,0.45,0.48,2.08,323.4,0.0,0.74,0.73,0.76,0.95,140,True,-30.802676534778,121.578032143946,propylitic_volcanics,propylitic_halo,waste,background,
363974.918068,6591401.589991,B_083_008,830.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.58,0.003,0.0133,0.27,51.8,18.72,6.89,92.6,47.9,medium,0.46,0.43,2.26,318.0,0.0,0.74,0.75,0.74,0.91,155,True,-30.802677681406,121.578136646277,propylitic_volcanics,propylitic_halo,waste,background,
363984.918068,6591401.589991,B_084_008,840.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.68,0.003,0.0131,0.28,52.9,17.75,6.13,90.6,47.4,medium,0.8,0.41,2.32,312.5,0.0,0.75,0.74,0.74,0.92,150,True,-30.802678827949,121.578241148615,propylitic_volcanics,propylitic_halo,waste,background,
363994.918068,6591401.589991,B_085_008,850.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.67,0.003,0.0131,0.28,53.1,17.69,5.98,86.8,49.1,medium,0.49,0.47,2.42,306.9,0.0,0.75,0.74,0.74,0.9,145,True,-30.802679974409,121.578345650958,propylitic_volcanics,propylitic_halo,waste,background,
364004.918068,6591401.589991,B_086_008,860.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.63,0.003,0.0133,0.27,52.7,17.88,6.68,88.2,56.8,medium,0.6,0.21,2.48,301.2,0.0,0.75,0.75,0.74,0.91,145,True,-30.802681120784,121.578450153307,propylitic_volcanics,propylitic_halo,waste,background,
364014.918068,6591401.589991,B_087_008,870.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.65,0.003,0.0131,0.27,52.3,18.0,5.63,103.0,64.1,hard,0.41,0.6,2.47,295.4,0.0,0.74,0.74,0.76,0.97,145,True,-30.802682267075,121.578554655663,propylitic_volcanics,propylitic_halo,waste,background,
364024.918068,6591401.589991,B_088_008,880.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.64,0.003,0.0137,0.28,52.3,17.51,6.51,89.8,54.4,medium,0.65,0.25,2.77,289.6,0.0,0.74,0.73,0.73,0.92,150,True,-30.802683413282,121.578659158024,propylitic_volcanics,propylitic_halo,waste,background,
363204.918068,6591411.589991,B_006_009,60.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.58,0.003,0.015,0.34,54.3,17.82,6.72,88.4,51.2,medium,0.56,0.38,2.51,128.2,0.0,0.75,0.73,0.75,0.91,145,True,-30.802498937834,121.570091320116,propylitic_volcanics,propylitic_halo,waste,background,
363214.918068,6591411.589991,B_007_009,70.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.61,0.003,0.0148,0.34,52.9,18.92,6.01,86.7,50.1,medium,0.32,0.46,2.68,118.3,0.0,0.74,0.74,0.76,0.91,150,True,-30.802500090858,121.570195821893,propylitic_volcanics,propylitic_halo,waste,background,
363224.918068,6591411.589991,B_008_009,80.0,-360.0,200.0,185.0,RL185-200,waste,fresh,2.71,0.003,0.0163,0.38,46.1,18.94,6.66,103.8,60.9,hard,0.73,0.44,1.55,108.3,0.0,0.75,0.87,0.77,1.0,140,False,-30.802501243798,121.570300323676,propylitic_volcanics,propylitic_halo,waste,background,
363234.918068,6591411.589991,B_009_009,90.0,-360.0,200.0,185.0,RL185-200,waste,fresh,2.64,0.003,0.0172,0.39,47.8,19.47,7.08,117.6,63.8,hard,0.47,0.33,1.49,98.4,0.0,0.75,0.88,0.77,1.03,130,False,-30.802502396654,121.570404825466,propylitic_volcanics,propylitic_halo,waste,background,
363244.918068,6591411.589991,B_010_009,100.0,-360.0,200.0,185.0,RL185-200,waste,fresh,2.7,0.003,0.0178,0.4,46.3,19.79,7.62,115.5,59.7,hard,0.45,0.69,1.52,88.5,0.0,0.75,0.88,0.78,1.03,130,False,-30.802503549425,121.570509327261,propylitic_volcanics,propylitic_halo,waste,background,
363254.918068,6591411.589991,B_011_009,110.0,-360.0,200.0,185.0,RL185-200,waste,fresh,2.69,0.003,0.0182,0.41,46.3,19.55,5.93,115.3,56.9,hard,0.74,0.48,1.62,78.6,0.0,0.75,0.87,0.76,1.01,140,False,-30.802504702113,121.570613829062,propylitic_volcanics,propylitic_halo,waste,background,
363264.918068,6591411.589991,B_012_009,120.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.61,0.003,0.0173,0.42,53.5,18.66,5.75,84.9,51.1,medium,0.24,0.43,2.68,68.7,0.0,0.75,0.73,0.75,0.91,150,True,-30.802505854716,121.57071833087,propylitic_volcanics,propylitic_halo,waste,background,
363274.918068,6591411.589991,B_013_009,130.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.59,0.004,0.0175,0.42,52.0,18.74,6.4,91.7,48.0,medium,0.54,0.5,2.92,58.8,0.0,0.75,0.75,0.73,0.92,145,True,-30.802507007235,121.570822832683,propylitic_volcanics,propylitic_halo,waste,background,
363284.918068,6591411.589991,B_014_009,140.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.63,0.004,0.0206,0.46,53.0,18.28,6.61,105.0,51.0,medium,0.6,0.56,2.72,48.8,0.0,0.74,0.74,0.74,0.97,145,True,-30.802508159669,121.570927334503,propylitic_volcanics,propylitic_halo,waste,background,
363294.918068,6591411.589991,B_015_009,150.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.65,0.005,0.0218,0.48,52.0,17.35,5.88,93.9,52.0,medium,0.29,0.7,2.64,38.9,0.0,0.74,0.73,0.75,0.91,150,True,-30.80250931202,121.571031836328,propylitic_volcanics,propylitic_halo,waste,background,
363304.918068,6591411.589991,B_016_009,160.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.57,0.005,0.0243,0.52,53.2,19.06,5.88,86.6,45.4,medium,0.61,0.6,2.98,29.0,0.0,0.73,0.75,0.73,0.89,145,True,-30.802510464286,121.57113633816,propylitic_volcanics,propylitic_halo,waste,cross_fault,
363314.918068,6591411.589991,B_017_009,170.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.57,0.005,0.0241,0.51,56.5,18.23,5.7,71.3,42.4,medium,0.56,0.36,3.72,19.1,0.0,0.72,0.71,0.71,0.82,155,True,-30.802511616468,121.571240839998,propylitic_volcanics,propylitic_halo,waste,cross_fault,
363324.918068,6591411.589991,B_018_009,180.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.56,0.005,0.0237,0.48,56.3,16.86,5.11,60.8,30.7,soft,0.3,0.44,4.32,9.2,0.0,0.71,0.71,0.7,0.75,155,True,-30.802512768566,121.571345341841,propylitic_volcanics,propylitic_halo,waste,cross_fault,
363334.918068,6591411.589991,B_019_009,190.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.52,0.005,0.0229,0.47,59.7,17.04,4.58,41.1,26.1,soft,0.67,0.42,5.0,0.7,0.0,0.69,0.69,0.66,0.65,175,True,-30.802513920579,121.571449843691,propylitic_volcanics,propylitic_halo,waste,cross_fault,
363344.918068,6591411.589991,B_020_009,200.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.54,0.005,0.0241,0.49,55.9,16.09,4.88,63.1,27.8,soft,0.31,0.51,4.43,10.7,0.0,0.7,0.7,0.7,0.75,160,True,-30.802515072509,121.571554345546,propylitic_volcanics,propylitic_halo,waste,cross_fault,
363354.918068,6591411.589991,B_021_009,210.0,-360.0,200.0,185.0,RL185-200,waste,fresh,2.68,0.006,0.0282,0.55,49.2,18.13,6.21,104.7,49.6,medium,0.44,0.66,2.45,20.6,0.0,0.73,0.86,0.74,0.98,140,False,-30.802516224354,121.571658847408,propylitic_volcanics,propylitic_halo,waste,cross_fault,
363364.918068,6591411.589991,B_022_009,220.0,-360.0,200.0,185.0,RL185-200,waste,fresh,2.66,0.006,0.0278,0.57,46.4,19.66,7.01,114.4,57.5,hard,0.57,0.62,2.22,30.5,0.0,0.74,0.88,0.76,1.02,140,False,-30.802517376115,121.571763349276,propylitic_volcanics,propylitic_halo,waste,cross_fault,
363374.918068,6591411.589991,B_023_009,230.0,-360.0,200.0,185.0,RL185-200,waste,fresh,2.7,0.005,0.0263,0.54,47.9,19.24,6.48,102.0,52.6,medium,0.51,0.44,1.7,40.4,0.0,0.75,0.88,0.75,1.01,145,False,-30.802518527791,121.571867851149,propylitic_volcanics,propylitic_halo,waste,background,
363384.918068,6591411.589991,B_024_009,240.0,-360.0,200.0,185.0,RL185-200,waste,fresh,2.65,0.005,0.0233,0.48,47.3,19.66,6.22,113.6,54.7,hard,0.63,0.55,1.95,50.3,0.0,0.74,0.88,0.75,0.99,145,False,-30.802519679384,121.571972353029,propylitic_volcanics,propylitic_halo,waste,background,
363394.918068,6591411.589991,B_025_009,250.0,-360.0,200.0,185.0,RL185-200,waste,fresh,2.73,0.005,0.022,0.48,47.1,19.49,6.73,118.4,66.2,hard,0.56,0.51,2.19,60.2,0.0,0.75,0.87,0.74,1.01,140,False,-30.802520830892,121.572076854915,propylitic_volcanics,propylitic_halo,waste,background,
363404.918068,6591411.589991,B_026_009,260.0,-360.0,200.0,185.0,RL185-200,waste,fresh,2.65,0.004,0.021,0.45,46.1,18.79,6.89,116.7,60.1,hard,0.74,0.52,1.87,70.2,0.0,0.74,0.87,0.75,1.0,140,False,-30.802521982316,121.572181356806,propylitic_volcanics,propylitic_halo,waste,background,
363414.918068,6591411.589991,B_027_009,270.0,-360.0,200.0,185.0,RL185-200,waste,fresh,2.68,0.004,0.0202,0.45,48.6,19.06,7.06,111.7,60.7,hard,0.66,0.46,2.09,80.1,0.0,0.74,0.87,0.76,0.97,140,False,-30.802523133656,121.572285858704,propylitic_volcanics,propylitic_halo,waste,background,
363424.918068,6591411.589991,B_028_009,280.0,-360.0,200.0,185.0,RL185-200,waste,fresh,2.7,0.004,0.0174,0.41,43.5,19.64,7.34,111.6,58.2,hard,0.32,0.28,2.11,90.0,0.0,0.74,0.84,0.75,0.98,135,False,-30.802524284912,121.572390360608,propylitic_volcanics,propylitic_halo,waste,background,
363434.918068,6591411.589991,B_029_009,290.0,-360.0,200.0,185.0,RL185-200,waste,fresh,2.76,0.003,0.0102,0.24,43.9,21.27,7.57,126.9,64.8,hard,0.32,0.52,2.19,99.9,0.0,0.73,0.82,0.75,1.11,130,False,-30.802525436083,121.572494862517,late_mafic_dyke,barren_intrusive,waste,background,
363794.918068,6591411.589991,B_065_009,650.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.61,0.006,0.0181,0.43,52.6,18.71,6.99,94.4,63.5,medium,0.66,0.63,1.66,362.4,0.0,0.75,0.74,0.75,0.97,140,True,-30.802566822168,121.576256935269,propylitic_volcanics,propylitic_halo,waste,background,
363804.918068,6591411.589991,B_066_009,660.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.62,0.006,0.0171,0.4,51.8,18.68,6.8,101.0,59.2,medium,0.69,0.56,1.83,364.6,0.0,0.75,0.74,0.75,0.95,140,True,-30.802567970224,121.576361437401,propylitic_volcanics,propylitic_halo,waste,background,
363814.918068,6591411.589991,B_067_009,670.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.63,0.006,0.0171,0.4,53.5,17.81,6.26,98.6,58.2,medium,0.37,0.53,2.05,366.9,0.0,0.75,0.73,0.75,0.92,135,True,-30.802569118195,121.576465939539,propylitic_volcanics,propylitic_halo,waste,background,
363824.918068,6591411.589991,B_068_009,680.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.62,0.006,0.0164,0.4,51.2,18.34,6.14,98.5,55.7,medium,0.63,0.51,1.74,369.2,0.0,0.75,0.76,0.76,0.93,150,True,-30.802570266082,121.576570441683,propylitic_volcanics,propylitic_halo,waste,background,
363834.918068,6591411.589991,B_069_009,690.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.64,0.005,0.0164,0.38,49.7,18.64,6.47,101.2,51.0,medium,0.71,0.5,1.51,371.4,0.0,0.75,0.75,0.75,0.94,140,True,-30.802571413885,121.576674943833,propylitic_volcanics,propylitic_halo,waste,background,
363844.918068,6591411.589991,B_070_009,700.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.58,0.005,0.0156,0.37,51.1,17.8,5.79,97.1,51.3,medium,0.72,0.48,1.8,372.2,0.0,0.74,0.74,0.76,0.96,140,True,-30.802572561603,121.576779445989,propylitic_volcanics,propylitic_halo,waste,background,
363854.918068,6591411.589991,B_071_009,710.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.59,0.005,0.0158,0.38,51.7,18.47,6.35,91.5,57.7,medium,0.52,0.42,1.74,367.9,0.0,0.74,0.76,0.77,0.9,145,True,-30.802573709238,121.576883948151,propylitic_volcanics,propylitic_halo,waste,background,
363864.918068,6591411.589991,B_072_009,720.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.61,0.005,0.0158,0.36,51.3,18.22,6.79,91.2,52.6,medium,0.48,0.24,1.61,363.6,0.0,0.75,0.74,0.76,0.91,150,True,-30.802574856788,121.576988450319,propylitic_volcanics,propylitic_halo,waste,background,
363874.918068,6591411.589991,B_073_009,730.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.56,0.005,0.0154,0.35,52.4,18.67,5.8,98.4,49.3,medium,0.55,0.51,1.77,359.1,0.0,0.75,0.74,0.76,0.9,150,True,-30.802576004254,121.577092952492,propylitic_volcanics,propylitic_halo,waste,background,
363884.918068,6591411.589991,B_074_009,740.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.61,0.005,0.015,0.35,50.4,18.17,6.29,105.0,57.2,hard,0.53,0.41,1.98,354.6,0.0,0.75,0.75,0.75,0.99,150,True,-30.802577151636,121.577197454672,propylitic_volcanics,propylitic_halo,waste,background,
363894.918068,6591411.589991,B_075_009,750.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.64,0.004,0.0152,0.32,53.7,18.84,6.09,103.4,56.5,hard,0.56,0.48,1.74,349.9,0.0,0.75,0.74,0.76,0.99,145,True,-30.802578298933,121.577301956858,propylitic_volcanics,propylitic_halo,waste,background,
363904.918068,6591411.589991,B_076_009,760.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.61,0.004,0.0148,0.32,51.9,18.62,7.01,97.1,58.7,medium,0.7,0.44,1.81,345.2,0.0,0.75,0.73,0.74,0.93,140,True,-30.802579446147,121.57740645905,propylitic_volcanics,propylitic_halo,waste,background,
363914.918068,6591411.589991,B_077_009,770.0,-360.0,200.0,185.0,RL185-200,waste,transition,2.57,0.004,0.0146,0.31,52.9,18.01,6.02,91.8,60.0,medium,0.37,0.44,1.97,340.4,0.0,0.75,0.75,0.76,0.9,145,True,-30.802580593276,121.577510961248,propylitic_volcanics,propylitic_halo,waste,background,
