date,cu_regime,guidance_status,throughput_tpd,cu_feed_ppm,cu_solution_ppm_avg,free_cn_ppm_avg,wad_gpl_avg,complexed_cn_gpl_avg,specific_nacn_kgpt,nacn_consumption_tpd,recovery_au_pct,expected_nacn_tpd_band_regime,expected_specific_nacn_band_regime,expected_free_cn_band_regime,analogue_count,expected_nacn_tpd_band_analog,expected_specific_nacn_band_analog,expected_free_cn_band_analog,guidance_comment
2025-01-24,Medium Cu,Normal,7972.933800000001,1123.3046088556052,1182.84375,339.5,4.4909375,4.1514375,2.0067895208160387,16.0,82.35079627998584,12.8 to 29.4,1.29 to 2.81,347 to 597,30,11.6 to 25.0,1.29 to 2.44,316 to 451,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-25,Medium Cu,Normal,14648.5702,334.5709134506518,1177.3125,330.8125,4.4818750000000005,4.1510625,1.3653209649089164,20.0,74.97185647214779,12.8 to 29.4,1.29 to 2.81,347 to 597,30,19.2 to 30.0,1.36 to 2.44,302 to 414,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-26,Medium Cu,Normal,11894.4403,682.1351692931322,1167.21875,477.28125,4.703125,4.22584375,1.0088747093043124,12.0,79.35484106979419,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.4 to 28.8,1.23 to 2.32,387 to 530,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-27,Medium Cu,Normal,14927.517800000001,400.4651329933533,1170.15625,497.59375,4.61809375,4.1205,1.3398074795797597,20.0,76.7453825707415,12.8 to 29.4,1.29 to 2.81,347 to 597,30,16.0 to 28.0,1.23 to 2.21,363 to 530,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-28,Medium Cu,Normal,14361.9802,905.0081694718865,1183.0,483.75,4.5975,4.1137500000000005,1.6710787555604623,24.0,79.65115048409766,12.8 to 29.4,1.29 to 2.81,347 to 597,30,16.0 to 28.0,1.23 to 2.21,363 to 530,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-29,Medium Cu,Normal,13638.8181,134.71331420927956,1182.4375,328.5625,4.2571875,3.928625,1.759683267569937,24.0,78.05307161261359,12.8 to 29.4,1.29 to 2.81,347 to 597,30,16.2 to 27.3,1.24 to 2.32,328 to 486,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-30,Medium Cu,Normal,13598.6955,277.3555699177987,1156.71875,657.59375,4.751875,4.09428125,2.353166890162369,32.0,77.73146018033866,12.8 to 29.4,1.29 to 2.81,347 to 597,30,13.7 to 27.0,1.22 to 2.01,429 to 640,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-31,Medium Cu,Normal,10475.819800000001,822.1483730830081,1044.1071428571427,787.9285714285714,4.618571428571429,3.8306428571428577,0.7636633841296124,8.0,79.06885205735257,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.6 to 24.0,1.26 to 2.15,364 to 603,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-02-01,Medium Cu,Normal,12038.6906,96.10403617983927,1024.5625,1000.75,4.8359375,3.8351875,1.32904819399545,16.0,75.5395360200409,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.4 to 24.0,1.23 to 2.14,364 to 603,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-02-02,Medium Cu,Normal,12606.1388,167.366513332313,965.25,774.25,4.428928571428571,3.654678571428571,1.2692228963875918,16.0,74.55801097676621,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.6 to 24.0,1.23 to 2.02,369 to 637,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-02-03,Medium Cu,Normal,13415.277900000001,165.9870340244222,975.875,477.90625,4.0528125,3.5749062499999997,0.8945025283449402,12.0,72.73974989997392,12.8 to 29.4,1.29 to 2.81,347 to 597,30,16.0 to 24.0,1.25 to 2.02,412 to 655,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-02-04,Medium Cu,Normal,10628.667800000001,308.4589497793566,1024.3333333333335,406.625,4.084583333333333,3.6779583333333328,0.7526813473274608,8.0,76.1119488987701,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.2 to 24.0,1.23 to 2.14,364 to 594,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-02-05,Low Cu,Normal,8676.9899,183.02341795558854,822.75,900.6999999999999,4.048,3.1473,1.8439574304448596,16.0,74.91929765775755,6.8 to 15.0,0.74 to 1.47,427 to 693,30,15.2 to 24.0,1.23 to 2.14,429 to 655,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-06,Low Cu,Normal,7164.75,74.26428925729238,696.4583333333334,888.1666666666667,3.610833333333334,2.722666666666667,1.674866534073066,12.0,82.34487114187361,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.8 to 23.0,1.17 to 2.14,434 to 676,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-07,Low Cu,Normal,40.1226,84.60975609756099,720.5,811.0,3.655,2.844,99.69443655196822,4.0,99.59060818933675,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 23.0,1.17 to 2.14,412 to 725,Low-Cu regime: lower reagent band may be adequate if free CN remains stable. Specific NaCN is already in the upper historical range.
2025-02-09,Low Cu,Normal,629.5427000000001,84.60975609756099,736.5,695.5,3.5475000000000003,2.8520000000000003,0.0,0.0,75.26697918824078,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 23.0,1.23 to 2.16,407 to 676,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-10,Low Cu,Normal,12256.499,175.93141381112062,702.90625,646.78125,3.3359375,2.68915625,0.9790724088501945,12.0,79.25603613608946,6.8 to 15.0,0.74 to 1.47,427 to 693,30,15.4 to 23.0,1.23 to 1.82,412 to 676,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-11,Low Cu,Normal,12047.2883,212.58071851319798,719.09375,623.0625,3.3478125,2.72475,0.9960747764291488,12.0,80.11161485706951,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.8 to 24.0,1.23 to 1.95,429 to 655,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-12,Low Cu,Normal,12244.080100000001,365.0659567564711,736.75,457.57142857142856,3.2128571428571426,2.755285714285714,1.3067539471585128,16.0,79.01024135793926,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.8 to 24.0,1.06 to 2.02,407 to 620,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-13,Low Cu,Normal,11121.6026,103.06663572238742,706.6785714285714,405.17857142857144,3.0285714285714285,2.623392857142857,1.0789811892757255,12.0,76.22733651839343,6.8 to 15.0,0.74 to 1.47,427 to 693,30,15.2 to 24.0,1.23 to 2.02,407 to 571,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-14,Low Cu,Normal,12449.4696,242.9303383702532,692.90625,587.4375,3.2068749999999997,2.6194374999999996,1.606494143332821,20.0,80.00597420132026,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 24.0,1.03 to 1.74,429 to 640,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-15,Low Cu,Normal,7895.5545,170.03064860490719,706.8571428571429,773.6071428571429,3.4678571428571425,2.6942499999999994,2.026456786537285,16.0,86.22673124052608,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 20.0,1.03 to 1.97,459 to 725,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-16,Low Cu,Normal,634.3192,217.54055268478993,716.0,775.5,3.5424999999999995,2.7669999999999995,6.305973396359435,4.0,95.62294316447296,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 16.3,1.03 to 2.02,418 to 774,Low-Cu regime: lower reagent band may be adequate if free CN remains stable. Specific NaCN is already in the upper historical range.
2025-02-17,,Normal,546.4316,543.0405526847899,,,,,0.0,0.0,84.19172161036335,nan to nan,nan to nan,,0,,,,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-18,Low Cu,Normal,9461.2912,352.3638722423684,770.1428571428571,554.25,3.4146428571428573,2.860392857142857,2.1138763808474685,20.0,81.78453596988608,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.8 to 24.0,1.23 to 2.02,407 to 605,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-19,Low Cu,Normal,13402.859,296.8056378050563,696.21875,708.9375,3.3996875,2.6907500000000004,0.2984437872546447,4.0,79.19150983590728,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.8 to 20.0,1.1 to 1.69,479 to 725,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-20,Low Cu,Normal,15176.8511,245.87720709947612,616.96875,833.59375,3.3240625,2.4904687500000002,0.5271185667756865,8.0,80.66584996308154,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 20.0,1.03 to 1.76,477 to 731,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-21,Low Cu,Normal,15609.602,295.37676064631944,601.96875,646.34375,3.0815625000000004,2.4352187500000007,0.5125050593858831,8.0,82.89588537716428,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 20.0,1.0 to 1.76,469 to 731,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-22,Low Cu,Normal,12027.227,363.29214582242685,608.6666666666666,528.4166666666667,2.908333333333333,2.3799166666666665,0.6651574797748475,8.0,80.91056897870192,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 19.2,0.92 to 1.83,435 to 702,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-23,Low Cu,Normal,12529.7148,257.10078559976705,640.59375,449.375,2.8187499999999996,2.369375,1.3567746968989272,17.0,80.7777675639388,6.8 to 15.0,0.74 to 1.47,427 to 693,30,9.3 to 19.2,0.8 to 1.74,412 to 674,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-24,Low Cu,Normal,14892.1717,272.87300256426386,635.34375,549.0625,2.9275,2.3784375000000004,1.2086887233512087,18.0,81.51690138818716,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 18.5,0.92 to 1.69,466 to 702,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-25,Low Cu,Normal,7481.9096,176.155060352832,640.25,496.25,2.87,2.3737500000000002,0.5346228722143341,4.0,85.4641360383333,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.1 to 17.8,0.8 to 1.97,450 to 702,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-26,Low Cu,Normal,8853.7204,285.0978912127096,705.5416666666666,302.66666666666663,2.7824999999999998,2.479833333333333,0.45178747682160825,4.0,77.18585120230938,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 20.0,0.92 to 1.77,369 to 553,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-02-27,Low Cu,Normal,5191.1002,101.4213011705561,678.0833333333333,289.75,2.6841666666666666,2.3944166666666664,2.119011303230094,11.0,82.70437936357166,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 19.2,0.92 to 2.02,364 to 574,Low-Cu regime: lower reagent band may be adequate if free CN remains stable. Free CN is in the lower historical range.
2025-02-28,Low Cu,Normal,14322.8129,86.40636698569367,606.28125,431.09375,2.684375,2.25328125,1.5360111280934208,22.0,75.54156521361635,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 20.0,0.92 to 1.64,369 to 573,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-01,Low Cu,Normal,15173.985200000001,,626.15625,625.5625,3.0203125,2.39475,1.383947573640707,21.0,79.40026200699073,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 20.0,0.92 to 1.5,470 to 676,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-02,Low Cu,Normal,13889.1067,268.6024133921275,664.71875,640.4375,3.2196875,2.57925,1.2592602517770275,17.49,80.19493425256141,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 20.0,0.92 to 1.5,479 to 676,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-03,Low Cu,Normal,8197.4293,277.4334200130092,775.25,545.8125,3.453125,2.9073124999999997,0.0,0.0,82.8133404842448,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 23.0,1.12 to 2.09,406 to 620,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-06,Low Cu,Normal,6870.5176,0.0,763.45,429.59999999999997,3.3195,2.8899,0.7277472078668425,5.0,77.21676087627698,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 17.9,0.8 to 1.83,436 to 702,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-07,Low Cu,Normal,14045.7759,185.70161093483043,643.3125,656.25,3.1859375,2.5296875,0.7831536027853042,11.0,78.65091447490667,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.1 to 17.9,0.7 to 1.5,459 to 702,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-08,Low Cu,Normal,7455.1612000000005,204.97379121812818,618.3125,694.8125,3.14125,2.4464375,1.0730820951262596,8.0,78.57903333720732,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.8 to 16.3,0.81 to 1.83,459 to 731,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-09,Low Cu,Normal,9710.6245,144.0594177064765,625.7083333333334,587.4583333333333,3.0433333333333334,2.4558750000000003,0.8238399085455318,8.0,70.49315009967431,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.8 to 17.4,0.81 to 1.66,436 to 692,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-10,Low Cu,Normal,12821.0813,191.13674523050835,595.25,605.59375,2.9787500000000002,2.37315625,0.9359584982898439,12.0,79.76207189280072,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 17.4,0.77 to 1.38,459 to 692,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-11,Low Cu,Normal,15429.0503,315.94855933769986,634.125,467.375,2.896875,2.4295,0.5185024252594471,8.0,79.49258067757182,6.8 to 15.0,0.74 to 1.47,427 to 693,30,5.8 to 16.0,0.68 to 1.59,504 to 695,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-12,Low Cu,Normal,15511.206100000001,437.67089487621257,720.8125,390.25,3.0640625,2.6738125,1.4827989423723793,23.0,79.24681736901762,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 16.0,0.57 to 1.5,475 to 685,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-13,Low Cu,Normal,14831.9878,410.21786359547815,723.46875,579.75,3.3084375,2.7286875000000004,1.8203898468686712,27.0,75.13402485598594,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 16.8,0.68 to 1.52,460 to 654,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-14,Low Cu,Normal,4411.575400000001,186.75420064879276,755.25,632.875,3.47375,2.840875,2.7201167183949746,12.0,77.21496136924792,6.8 to 15.0,0.74 to 1.47,427 to 693,30,5.8 to 16.8,0.74 to 1.66,460 to 685,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-15,Low Cu,Normal,3944.756708574,375.2272727272729,787.25,522.5,3.4750000000000005,2.9525000000000006,0.7605031746265735,3.0,75.4275561283754,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 16.8,0.79 to 1.78,475 to 685,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-16,Medium Cu,Normal,11330.889165840208,329.8360958660399,916.0625,462.3125,3.745625,3.2833125,0.2647629816240943,3.0,83.15855512062453,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.6 to 24.0,1.23 to 2.02,407 to 637,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-03-17,Medium Cu,Normal,12624.925169116295,397.626747546932,1004.6875,652.09375,4.311249999999999,3.659156249999999,1.7746639841326108,22.405,78.40522892705522,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.2 to 24.0,1.17 to 1.95,412 to 637,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-03-18,Medium Cu,Normal,14049.779199137507,296.553906952385,1044.5625,486.34375,4.321875,3.8355312500000003,1.2117628155355735,17.025,73.90388887755113,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.2 to 24.0,1.23 to 2.02,412 to 637,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-03-19,Medium Cu,Normal,13536.353538106614,253.57298481590067,888.09375,1082.34375,4.4834375,3.4010937500000002,1.0940908094863142,14.809999999999999,75.92406532981829,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.2 to 23.6,1.17 to 1.77,463 to 656,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-03-20,Low Cu,Normal,14084.945340304006,172.82552927716313,817.40625,928.0625,4.164375,3.2363124999999995,0.49698453425797345,7.0,83.27813774855808,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 17.4,0.68 to 1.52,475 to 647,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-21,Low Cu,Normal,14175.49815380774,252.12605981301263,785.9375,587.21875,3.6521874999999997,3.06496875,0.4938098064736935,7.0,81.61445646638575,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 17.4,0.57 to 1.52,475 to 647,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-22,Low Cu,Normal,14746.068794234192,295.2880769790117,713.65625,426.90625,3.1840625,2.75715625,0.8137762116430705,12.0,78.44052509611645,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 17.4,0.53 to 1.46,475 to 647,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-23,Low Cu,Normal,10397.77543899655,165.19685485942023,700.3333333333334,461.4583333333333,3.08375,2.622291666666667,0.7693953429688658,8.0,81.21884842273995,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 17.4,0.79 to 1.59,460 to 639,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-24,Low Cu,Normal,12713.533492901339,0.12642589276545782,673.28125,452.5,2.8909375,2.4384375,1.0712993368527162,13.620000000000001,83.70498107612573,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 16.8,0.77 to 1.59,459 to 639,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-25,Low Cu,Normal,13796.101779566257,293.0686189198964,662.78125,454.125,2.9415625,2.4874375,0.9872353957385931,13.620000000000001,78.37247218677892,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 17.4,0.69 to 1.38,459 to 645,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-26,Low Cu,Normal,13893.652574176562,303.80301686497995,674.21875,397.46875,2.9128125000000002,2.5153437500000004,1.633839616962307,22.700000000000003,82.51089046724994,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 17.4,0.69 to 1.34,453 to 625,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-27,Low Cu,Normal,11635.259649896509,260.79887765736265,730.75,508.625,3.2704999999999997,2.761875,1.755869711096797,20.43,80.60002751331155,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 17.1,0.79 to 1.59,455 to 639,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
