particle_id,column_id,layer,pre_x,pre_y,pre_z,pre_volume_m3,pre_cell_area_m2,z_fraction_from_floor,depth_fraction_from_top,pre_floor_z_m,pre_top_z_m,nearest_hole_id,nearest_hole_distance_m,lithology,mineral_domain,structure_domain,digability,coarse_risk,dx_m,dy_m,horizontal_displacement_m,throw_model_m,direction_x,direction_y,nearest_hole_index,nearest_hole_id_model,model_burden_m,model_spacing_m,model_energy_density_mj_m3,model_firing_time_ms,model_front_relief_norm,model_depth_fraction_from_top,model_back_relief_norm,model_row_throw_factor,model_face_factor,model_toe_factor,model_face_row_throw_multiplier,model_face_row_vertical_damping,model_lateral_spread_multiplier,model_depth_factor,model_vertical_heave_m,post_x,post_y,post_volume_m3,topo_i,topo_j,post_z,post_floor_z_m,post_surface_z_m,post_muckpile_height_m
11,2,3,363448.942738142,6591718.558971153,189.6875,7.139122801127087,3.807532160601113,0.3125,0.6875,185.0,200.0,5-H-006,3.479159713717912,propylitic_volcanics,waste,background,hard,bad,2.543200590018207,0.8902589658781812,2.6945185594824625,2.6154353424332646,0.9685997660161926,0.2486252064320451,5,5-H-006,6.999999999999999,8.0,1.79,510.51865843502736,0.0,0.6875,1.0,0.44999999999999996,0.0,0.700306794437507,1.0,1.0,1.0,0.87625,2.718133726255452,363451.485938732,6591719.449230119,8.709729817375045,0,8,188.09914797512423,185.0,193.49503621773678,8.495036217736791
12,2,4,363448.942738142,6591718.558971153,191.5625,7.139122801127087,3.807532160601113,0.4375,0.5625,185.0,200.0,5-H-006,3.479159713717912,propylitic_volcanics,waste,background,hard,bad,2.358439698074739,0.8207905268363493,2.4971853952798857,2.682593453936544,0.9685997660161926,0.2486252064320451,5,5-H-006,6.999999999999999,8.0,1.79,510.51865843502736,0.0,0.5625,1.0,0.44999999999999996,0.0,0.4941770125291821,1.0,1.0,1.0,0.89875,2.752759633596286,363451.30117784004,6591719.379761679,8.709729817375045,0,8,188.83408171171538,185.0,193.49503621773678,8.495036217736791
13,2,5,363448.942738142,6591718.558971153,193.4375,7.139122801127087,3.807532160601113,0.5625,0.4375,185.0,200.0,5-H-006,3.479159713717912,propylitic_volcanics,waste,background,hard,bad,2.610223707955911,0.6887511571129243,2.6995640318391225,2.7497515654398232,0.9685997660161926,0.2486252064320451,5,5-H-006,6.999999999999999,8.0,1.79,510.51865843502736,0.0,0.4375,1.0,0.44999999999999996,0.0,0.29687615478759505,1.0,1.0,1.0,0.92125,2.78738554093712,363451.55296184996,6591719.24772231,8.709729817375045,0,8,189.62565098675253,185.0,193.49503621773678,8.495036217736791
14,2,6,363448.942738142,6591718.558971153,195.3125,7.139122801127087,3.807532160601113,0.6875,0.3125,185.0,200.0,5-H-006,3.479159713717912,propylitic_volcanics,waste,background,hard,bad,2.6843209796361194,1.016852944491793,2.870464950567459,2.8169096769431023,0.9685997660161926,0.2486252064320451,5,5-H-006,6.999999999999999,8.0,1.79,510.51865843502736,0.0,0.3125,1.0,0.44999999999999996,0.0,0.13907239614434003,1.0,1.0,1.0,0.94375,2.8220114482779537,363451.6270591216,6591719.575824097,8.709729817375045,0,8,191.01219418062198,185.0,193.49503621773678,8.495036217736791
15,2,7,363448.942738142,6591718.558971153,197.1875,7.139122801127087,3.807532160601113,0.8125,0.1875,185.0,200.0,5-H-006,3.479159713717912,propylitic_volcanics,waste,background,hard,bad,2.4767373709262634,0.7749456792565885,2.5951433121007392,2.884067788446382,0.9685997660161926,0.2486252064320451,5,5-H-006,6.999999999999999,8.0,1.79,510.51865843502736,0.0,0.1875,1.0,0.44999999999999996,0.0,0.0400800265017407,1.0,1.0,1.0,0.96625,2.856637355618787,363451.4194755129,6591719.333916832,8.709729817375045,0,8,190.7807311741677,185.0,193.49503621773678,8.495036217736791
16,2,8,363448.942738142,6591718.558971153,199.0625,7.139122801127087,3.807532160601113,0.9375,0.0625,185.0,200.0,5-H-006,3.479159713717912,propylitic_volcanics,waste,background,hard,bad,2.823878040716701,0.46302989050624704,2.861587648202344,2.951225899949661,0.9685997660161926,0.2486252064320451,5,5-H-006,6.999999999999999,8.0,1.79,510.51865843502736,0.0,0.0625,1.0,0.44999999999999996,0.0,0.002333657639698224,1.0,1.0,1.0,0.98875,2.8912632629596207,363451.7666161827,6591719.022001043,8.709729817375045,0,8,192.77158059192345,185.0,193.49503621773678,8.495036217736791
17,3,1,363448.942738142,6591720.558971153,185.9375,6.4573046192890615,3.443895796954166,0.0625,0.9375,185.0,200.0,5-H-006,4.083189552624383,propylitic_volcanics,waste,background,hard,bad,2.4120408318677065,0.8219842960122192,2.548254139109316,2.4521672304432225,0.9573964991672012,0.2887766323343831,5,5-H-006,6.999999999999999,8.0,1.7900000000000003,531.87402918165,0.0,0.9375,1.0,0.44999999999999996,0.0,0.9848687366886018,1.0,1.0,1.0,0.83125,2.6488819115737847,363451.35477897385,6591721.380955448,7.877911635532655,0,9,186.7233427077891,185.0,195.22657865364502,10.22657865364503
18,3,2,363448.942738142,6591720.558971153,187.8125,6.4573046192890615,3.443895796954166,0.1875,0.8125,185.0,200.0,5-H-006,4.083189552624383,propylitic_volcanics,waste,background,hard,bad,2.5656285593003867,0.5216177370573614,2.618116683402522,2.518541681793565,0.9573964991672012,0.2887766323343831,5,5-H-006,6.999999999999999,8.0,1.7900000000000003,531.87402918165,0.0,0.8125,1.0,0.44999999999999996,0.0,0.8774689157719662,1.0,1.0,1.0,0.85375,2.6835078189146184,363451.5083667013,6591721.080588889,7.877911635532655,0,9,188.24375101438812,185.0,195.22657865364502,10.22657865364503
19,3,3,363448.942738142,6591720.558971153,189.6875,6.4573046192890615,3.443895796954166,0.3125,0.6875,185.0,200.0,5-H-006,4.083189552624383,propylitic_volcanics,waste,background,hard,bad,2.4416391194813927,0.9736408674065569,2.628607640646672,2.5849161331439077,0.9573964991672012,0.2887766323343831,5,5-H-006,6.999999999999999,8.0,1.7900000000000003,531.87402918165,0.0,0.6875,1.0,0.44999999999999996,0.0,0.700306794437507,1.0,1.0,1.0,0.87625,2.718133726255452,363451.38437726145,6591721.53261202,7.877911635532655,0,9,188.15387830310752,185.0,195.22657865364502,10.22657865364503
20,3,4,363448.942738142,6591720.558971153,191.5625,6.4573046192890615,3.443895796954166,0.4375,0.5625,185.0,200.0,5-H-006,4.083189552624383,propylitic_volcanics,waste,background,hard,bad,2.62053480621907,0.7765982089235894,2.7331863179646105,2.651290584494251,0.9573964991672012,0.2887766323343831,5,5-H-006,6.999999999999999,8.0,1.7900000000000003,531.87402918165,0.0,0.5625,1.0,0.44999999999999996,0.0,0.4941770125291821,1.0,1.0,1.0,0.89875,2.752759633596286,363451.5632729482,6591721.335569361,7.877911635532655,0,9,189.3713662972026,185.0,195.22657865364502,10.22657865364503
21,3,5,363448.942738142,6591720.558971153,193.4375,6.4573046192890615,3.443895796954166,0.5625,0.4375,185.0,200.0,5-H-006,4.083189552624383,propylitic_volcanics,waste,background,hard,bad,2.635979617155978,0.742607602156231,2.73858623980367,2.7176650358445937,0.9573964991672012,0.2887766323343831,5,5-H-006,6.999999999999999,8.0,1.7900000000000003,531.87402918165,0.0,0.4375,1.0,0.44999999999999996,0.0,0.29687615478759505,1.0,1.0,1.0,0.92125,2.78738554093712,363451.5787177591,6591721.301578755,7.877911635532655,0,9,190.77696525028458,185.0,195.22657865364502,10.22657865364503
22,3,6,363448.942738142,6591720.558971153,195.3125,6.4573046192890615,3.443895796954166,0.6875,0.3125,185.0,200.0,5-H-006,4.083189552624383,propylitic_volcanics,waste,background,hard,bad,2.771986860022615,0.6380967100695218,2.8444821257198267,2.7840394871949363,0.9573964991672012,0.2887766323343831,5,5-H-006,6.999999999999999,8.0,1.7900000000000003,531.87402918165,0.0,0.3125,1.0,0.44999999999999996,0.0,0.13907239614434003,1.0,1.0,1.0,0.94375,2.8220114482779537,363451.714725002,6591721.197067862,7.877911635532655,0,9,191.83494679139113,185.0,195.22657865364502,10.22657865364503
23,3,7,363448.942738142,6591720.558971153,197.1875,6.4573046192890615,3.443895796954166,0.8125,0.1875,185.0,200.0,5-H-006,4.083189552624383,propylitic_volcanics,waste,background,hard,bad,2.5981955191042765,1.1476677012391625,2.8403804512707667,2.8504139385452794,0.9573964991672012,0.2887766323343831,5,5-H-006,6.999999999999999,8.0,1.7900000000000003,531.87402918165,0.0,0.1875,1.0,0.44999999999999996,0.0,0.0400800265017407,1.0,1.0,1.0,0.96625,2.856637355618787,363451.5409336611,6591721.706638854,7.877911635532655,0,9,192.95707286382108,185.0,195.22657865364502,10.22657865364503
24,3,8,363448.942738142,6591720.558971153,199.0625,6.4573046192890615,3.443895796954166,0.9375,0.0625,185.0,200.0,5-H-006,4.083189552624383,propylitic_volcanics,waste,background,hard,bad,2.816858351947171,0.8025618324144391,2.9289582567498216,2.9167883898956224,0.9573964991672012,0.2887766323343831,5,5-H-006,6.999999999999999,8.0,1.7900000000000003,531.87402918165,0.0,0.0625,1.0,0.44999999999999996,0.0,0.002333657639698224,1.0,1.0,1.0,0.98875,2.8912632629596207,363451.7595964939,6591721.361532985,7.877911635532655,0,9,195.22657865364502,185.0,195.22657865364502,10.22657865364503
25,4,1,363448.942738142,6591722.558971153,185.9375,5.775486437451036,3.0802594333072193,0.0625,0.9375,185.0,200.0,5-H-012,4.199483580162641,propylitic_volcanics,waste,background,hard,bad,2.370829830032923,0.2774581562956582,2.3870100777895606,2.4386991022542404,0.987183542632287,0.15958901326835626,11,5-H-012,7.000000000000001,8.0,1.7900000000000005,560.9508889504004,0.0,0.9375,1.0,0.44999999999999996,0.0,0.9848687366886018,1.0,1.0,1.0,0.83125,2.648881911573785,363451.313567972,6591722.836429309,7.046093453690264,0,10,185.7324931754551,185.0,195.16090058486822,10.160900584868214
26,4,2,363448.942738142,6591722.558971153,187.8125,5.775486437451036,3.0802594333072193,0.1875,0.8125,185.0,200.0,5-H-012,4.199483580162641,propylitic_volcanics,waste,background,hard,bad,2.5960265751409985,0.33033179551115505,2.61695874517806,2.504709002766385,0.987183542632287,0.15958901326835626,11,5-H-012,7.000000000000001,8.0,1.7900000000000005,560.9508889504004,0.0,0.8125,1.0,0.44999999999999996,0.0,0.8774689157719662,1.0,1.0,1.0,0.85375,2.683507818914619,363451.5387647171,6591722.8893029485,7.046093453690264,0,10,186.98304704156868,185.0,195.16090058486822,10.160900584868214
27,4,3,363448.942738142,6591722.558971153,189.6875,5.775486437451036,3.0802594333072193,0.3125,0.6875,185.0,200.0,5-H-012,4.199483580162641,propylitic_volcanics,waste,background,hard,bad,2.6510809056464066,0.567194539024375,2.711077205352523,2.5707189032785296,0.987183542632287,0.15958901326835626,11,5-H-012,7.000000000000001,8.0,1.7900000000000005,560.9508889504004,0.0,0.6875,1.0,0.44999999999999996,0.0,0.700306794437507,1.0,1.0,1.0,0.87625,2.7181337262554526,363451.5938190476,6591723.126165692,7.046093453690264,0,10,189.06435840939358,185.0,195.16090058486822,10.160900584868214
28,4,4,363448.942738142,6591722.558971153,191.5625,5.775486437451036,3.0802594333072193,0.4375,0.5625,185.0,200.0,5-H-012,4.199483580162641,propylitic_volcanics,waste,background,hard,bad,2.7132714829682727,0.5362386880486805,2.7657537979453304,2.636728803790675,0.987183542632287,0.15958901326835626,11,5-H-012,7.000000000000001,8.0,1.7900000000000005,560.9508889504004,0.0,0.5625,1.0,0.44999999999999996,0.0,0.4941770125291821,1.0,1.0,1.0,0.89875,2.7527596335962863,363451.65600962494,6591723.095209841,7.046093453690264,0,10,189.5189316613878,185.0,195.16090058486822,10.160900584868214
29,4,5,363448.942738142,6591722.558971153,193.4375,5.775486437451036,3.0802594333072193,0.5625,0.4375,185.0,200.0,5-H-012,4.199483580162641,propylitic_volcanics,waste,background,hard,bad,2.612186267700941,0.5352875595103207,2.6664676762585904,2.7027387043028197,0.987183542632287,0.15958901326835626,11,5-H-012,7.000000000000001,8.0,1.7900000000000005,560.9508889504004,0.0,0.4375,1.0,0.44999999999999996,0.0,0.29687615478759505,1.0,1.0,1.0,0.92125,2.7873855409371204,363451.55492440966,6591723.094258713,7.046093453690264,0,10,190.69043046903997,185.0,195.16090058486822,10.160900584868214
30,4,6,363448.942738142,6591722.558971153,195.3125,5.775486437451036,3.0802594333072193,0.6875,0.3125,185.0,200.0,5-H-012,4.199483580162641,propylitic_volcanics,waste,background,hard,bad,2.622984682374394,0.5448662980586202,2.67897889628321,2.7687486048149643,0.987183542632287,0.15958901326835626,11,5-H-012,7.000000000000001,8.0,1.7900000000000005,560.9508889504004,0.0,0.3125,1.0,0.44999999999999996,0.0,0.13907239614434003,1.0,1.0,1.0,0.94375,2.822011448277954,363451.56572282437,6591723.103837451,7.046093453690264,0,10,192.38173561680708,185.0,195.16090058486822,10.160900584868214
31,4,7,363448.942738142,6591722.558971153,197.1875,5.775486437451036,3.0802594333072193,0.8125,0.1875,185.0,200.0,5-H-012,4.199483580162641,propylitic_volcanics,waste,background,hard,bad,2.8266127084746735,1.0719401839030955,3.023044022434462,2.8347585053271094,0.987183542632287,0.15958901326835626,11,5-H-012,7.000000000000001,8.0,1.7900000000000005,560.9508889504004,0.0,0.1875,1.0,0.44999999999999996,0.0,0.0400800265017407,1.0,1.0,1.0,0.96625,2.8566373556187874,363451.76935085043,6591723.630911336,7.046093453690264,0,10,193.10629435992328,185.0,195.16090058486822,10.160900584868214
32,4,8,363448.942738142,6591722.558971153,199.0625,5.775486437451036,3.0802594333072193,0.9375,0.0625,185.0,200.0,5-H-012,4.199483580162641,propylitic_volcanics,waste,background,hard,bad,2.9369185015258057,0.35536283440661115,2.9583395729162136,2.9007684058392544,0.987183542632287,0.15958901326835626,11,5-H-012,7.000000000000001,8.0,1.7900000000000005,560.9508889504004,0.0,0.0625,1.0,0.44999999999999996,0.0,0.002333657639698224,1.0,1.0,1.0,0.98875,2.891263262959621,363451.8796566435,6591722.914333987,7.046093453690264,0,10,194.1639430744638,185.0,195.16090058486822,10.160900584868214
33,5,1,363448.942738142,6591724.558971153,185.9375,5.093668255613011,2.7166230696602724,0.0625,0.9375,185.0,200.0,5-H-012,2.5689583396268536,propylitic_volcanics,waste,background,hard,bad,2.505623755864738,0.34071394426651996,2.5286827396435805,2.496732878255136,0.9827981248290157,0.18468309568709998,11,5-H-012,7.0,7.999999999999999,1.7899999999999996,585.0797562108729,0.0,0.9375,1.0,0.44999999999999996,0.0,0.9848687366886018,1.0,1.0,1.0,0.83125,2.648881911573785,363451.44836189784,6591724.899685097,6.214275271847873,0,11,186.65085068537155,185.0,194.30580329627327,9.305803296273282
34,5,2,363448.942738142,6591724.558971153,187.8125,5.093668255613011,2.7166230696602724,0.1875,0.8125,185.0,200.0,5-H-012,2.5689583396268536,propylitic_volcanics,waste,background,hard,bad,2.502850858203021,0.25799540032166335,2.5161128839928337,2.564313617816929,0.9827981248290157,0.18468309568709998,11,5-H-012,7.0,7.999999999999999,1.7899999999999996,585.0797562108729,0.0,0.8125,1.0,0.44999999999999996,0.0,0.8774689157719662,1.0,1.0,1.0,0.85375,2.683507818914619,363451.4455890002,6591724.816966553,6.214275271847873,0,11,187.04682340478055,185.0,194.30580329627327,9.305803296273282
35,5,3,363448.942738142,6591724.558971153,189.6875,5.093668255613011,2.7166230696602724,0.3125,0.6875,185.0,200.0,5-H-012,2.5689583396268536,propylitic_volcanics,waste,background,hard,bad,2.5952162303856863,0.6526384491936332,2.676020221863647,2.6318943573787217,0.9827981248290157,0.18468309568709998,11,5-H-012,7.0,7.999999999999999,1.7899999999999996,585.0797562108729,0.0,0.6875,1.0,0.44999999999999996,0.0,0.700306794437507,1.0,1.0,1.0,0.87625,2.7181337262554526,363451.53795437235,6591725.211609602,6.214275271847873,0,11,188.18696682822502,185.0,194.30580329627327,9.305803296273282
36,5,4,363448.942738142,6591724.558971153,191.5625,5.093668255613011,2.7166230696602724,0.4375,0.5625,185.0,200.0,5-H-012,2.5689583396268536,propylitic_volcanics,waste,background,hard,bad,2.4959794631454866,0.7791309869378739,2.614757842564167,2.6994750969405152,0.9827981248290157,0.18468309568709998,11,5-H-012,7.0,7.999999999999999,1.7899999999999996,585.0797562108729,0.0,0.5625,1.0,0.44999999999999996,0.0,0.4941770125291821,1.0,1.0,1.0,0.89875,2.7527596335962863,363451.43871760514,6591725.3381021395,6.214275271847873,0,11,189.0949509105833,185.0,194.30580329627327,9.305803296273282
37,5,5,363448.942738142,6591724.558971153,193.4375,5.093668255613011,2.7166230696602724,0.5625,0.4375,185.0,200.0,5-H-012,2.5689583396268536,propylitic_volcanics,waste,background,hard,bad,2.7856310188615327,0.49138174975000554,2.8286385766355724,2.7670558365023084,0.9827981248290157,0.18468309568709998,11,5-H-012,7.0,7.999999999999999,1.7899999999999996,585.0797562108729,0.0,0.4375,1.0,0.44999999999999996,0.0,0.29687615478759505,1.0,1.0,1.0,0.92125,2.7873855409371204,363451.72836916085,6591725.050352902,6.214275271847873,0,11,189.72839190118071,185.0,194.30580329627327,9.305803296273282
38,5,6,363448.942738142,6591724.558971153,195.3125,5.093668255613011,2.7166230696602724,0.6875,0.3125,185.0,200.0,5-H-012,2.5689583396268536,propylitic_volcanics,waste,background,hard,bad,2.9643077318539577,0.3147174305204262,2.9809675258550765,2.8346365760641015,0.9827981248290157,0.18468309568709998,11,5-H-012,7.0,7.999999999999999,1.7899999999999996,585.0797562108729,0.0,0.3125,1.0,0.44999999999999996,0.0,0.13907239614434003,1.0,1.0,1.0,0.94375,2.822011448277954,363451.9070458738,6591724.873688583,6.214275271847873,0,11,191.3620900468532,185.0,194.30580329627327,9.305803296273282
39,5,7,363448.942738142,6591724.558971153,197.1875,5.093668255613011,2.7166230696602724,0.8125,0.1875,185.0,200.0,5-H-012,2.5689583396268536,propylitic_volcanics,waste,background,hard,bad,3.059312878310813,0.33142208837626824,3.0772123566731757,2.9022173156258946,0.9827981248290157,0.18468309568709998,11,5-H-012,7.0,7.999999999999999,1.7899999999999996,585.0797562108729,0.0,0.1875,1.0,0.44999999999999996,0.0,0.0400800265017407,1.0,1.0,1.0,0.96625,2.8566373556187874,363452.0020510203,6591724.890393241,6.214275271847873,1,11,195.70251057444753,185.0,197.43905813851845,12.439058138518458
40,5,8,363448.942738142,6591724.558971153,199.0625,5.093668255613011,2.7166230696602724,0.9375,0.0625,185.0,200.0,5-H-012,2.5689583396268536,propylitic_volcanics,waste,background,hard,bad,2.955408016708591,0.7519619772095943,3.0495710125187068,2.9697980551876877,0.9827981248290157,0.18468309568709998,11,5-H-012,7.0,7.999999999999999,1.7899999999999996,585.0797562108729,0.0,0.0625,1.0,0.44999999999999996,0.0,0.002333657639698224,1.0,1.0,1.0,0.98875,2.891263262959621,363451.89814615867,6591725.31093313,6.214275271847873,0,11,194.1361003127573,185.0,194.30580329627327,9.305803296273282
41,6,1,363448.942738142,6591726.558971153,185.9375,4.4118500737749855,2.3529867060133256,0.0625,0.9375,185.0,200.0,5-H-012,1.8877053693362975,propylitic_volcanics,waste,background,hard,bad,2.2726239286043493,0.8159236498232891,2.4146533753742014,2.529684811474687,0.9646339827244332,0.2635930184454775,11,5-H-012,7.000000000000001,8.0,1.7900000000000003,601.1088404314961,0.0,0.9375,1.0,0.44999999999999996,0.0,0.9848687366886018,1.0,1.0,1.0,0.83125,2.648881911573785,363451.2153620706,6591727.374894802,5.382457090005482,0,12,185.7401402500006,185.0,193.57531202276977,8.575312022769765
42,6,2,363448.942738142,6591726.558971153,187.8125,4.4118500737749855,2.3529867060133256,0.1875,0.8125,185.0,200.0,5-H-012,1.8877053693362975,propylitic_volcanics,waste,background,hard,bad,2.486382442725324,0.8257153490526035,2.6199052443082387,2.598157483063475,0.9646339827244332,0.2635930184454775,11,5-H-012,7.000000000000001,8.0,1.7900000000000003,601.1088404314961,0.0,0.8125,1.0,0.44999999999999996,0.0,0.8774689157719662,1.0,1.0,1.0,0.85375,2.683507818914619,363451.4291205847,6591727.384686502,5.382457090005482,0,12,187.2952425340587,185.0,193.57531202276977,8.575312022769765
43,6,3,363448.942738142,6591726.558971153,189.6875,4.4118500737749855,2.3529867060133256,0.3125,0.6875,185.0,200.0,5-H-012,1.8877053693362975,propylitic_volcanics,waste,background,hard,bad,2.811739352503787,0.5843543227135621,2.871819660231547,2.666630154652264,0.9646339827244332,0.2635930184454775,11,5-H-012,7.000000000000001,8.0,1.7900000000000003,601.1088404314961,0.0,0.6875,1.0,0.44999999999999996,0.0,0.700306794437507,1.0,1.0,1.0,0.87625,2.7181337262554526,363451.7544774945,6591727.143325475,5.382457090005482,0,12,187.39113490694456,185.0,193.57531202276977,8.575312022769765
